test, size, density, tree, frederickson, randomized, even
2, 1000, 0.5, lobster, 148.05250549316406, 367.5132374763489, 530.9841277599335
3, 1000, 0.5, lobster, 127.27958035469055, 252.30292868614197, 321.16173577308655
1, 1000, 0.5, random, 164.32798099517822, 350.88903307914734, 111.45394587516785
2, 1000, 0.5, random, 58.933449029922485, 390.91274905204773, 155.40804529190063
3, 1000, 0.5, random, 147.62529158592224, 441.10109186172485, 125.3721809387207
1, 1000, 0.8, path, 359.21286273002625, 661.9864766597748, 30.45602059364319
2, 1000, 0.8, path, 331.2816815376282, 551.6108403205872, 33.946860551834106
3, 1000, 0.8, path, 378.7343566417694, 472.25552678108215, 31.65143847465515
1, 1000, 0.8, star, 310.93744134902954, 305.0026767253876, 169.48291015625
2, 1000, 0.8, star, 228.18211841583252, 310.2450132369995, 194.95208358764648
3, 1000, 0.8, star, 493.6005206108093, 290.87376499176025, 447.27953338623047
1, 1000, 0.8, starlike, 24.866801738739014, 1347.20117020607, 30.611360549926758
2, 1000, 0.8, starlike, 130.93026065826416, 536.5337860584259, 54.05052947998047
3, 1000, 0.8, starlike, 132.9802315235138, 518.144565820694, 113.69532585144043
1, 1000, 0.8, caterpillar, 36.052528858184814, 294.5270993709564, 723.0080387592316
2, 1000, 0.8, caterpillar, 306.6414268016815, 242.58902740478516, 966.5221316814423
3, 1000, 0.8, caterpillar, 207.29670357704163, 302.9839961528778, 391.4976065158844
1, 1000, 0.8, lobster, 466.2022080421448, 303.7566692829132, 711.0236582756042
2, 1000, 0.8, lobster, 226.67320036888123, 304.0924198627472, 856.7319967746735
3, 1000, 0.8, lobster, 129.6217131614685, 300.97687554359436, 611.1519899368286
1, 1000, 0.8, random, 33.25722527503967, 754.6772797107697, 138.4470944404602
2, 1000, 0.8, random, 134.55410051345825, 428.6089606285095, 162.52165532112122
3, 1000, 0.8, random, 112.22510051727295, 614.2003552913666, 243.6882894039154
